path,line_length
FunctionExecutionTask.json,598
VectorCompletion.json,529
VectorCompletionTaskChunk.json,526
FunctionExecutionTaskChunk.json,523
VectorCompletionChunk.json,490
ChatCompletion.json,400
ChatCompletionChunk.json,362
InputSchema.json,357
Ensemble.json,310
EnsembleBase.json,300
EnsembleLlmWithFallbacksAndCount.json,292
FunctionExecutionCreateParamsInlineFunctionInlineProfileNonStreaming.json,290
FunctionExecutionCreateParamsInlineFunctionInlineProfile.json,290
EnsembleLlmBaseWithFallbacksAndCount.json,287
FunctionExecutionCreateParamsInlineFunctionInlineProfileStreaming.json,284
FunctionExecutionCreateParamsRemoteFunctionInlineProfileNonStreaming.json,276
FunctionExecutionCreateParamsRemoteFunctionInlineProfile.json,276
FunctionExecutionCreateParamsRemoteFunctionInlineProfileStreaming.json,270
ChatCompletionCreateParamsNonStreaming.json,269
ChatCompletionCreateParams.json,269
Profile.json,267
EnsembleLlm.json,266
ChatCompletionCreateParamsStreaming.json,263
EnsembleLlmBase.json,261
FunctionProfileComputationCreateParamsInlineFunctionNonStreaming.json,240
FunctionProfileComputationCreateParamsInlineFunction.json,240
FunctionProfileComputationCreateParamsInlineFunctionStreaming.json,234
FunctionProfileComputationCreateParamsNonStreaming.json,226
FunctionProfileComputationCreateParams.json,226
VectorCompletionCreateParamsNonStreaming.json,223
VectorCompletionCreateParams.json,223
TaskOutput.json,220
FunctionProfileComputationCreateParamsStreaming.json,220
VectorCompletionCreateParamsStreaming.json,217
AlphaVectorRemoteFunction.json,197
AssistantMessageExpression.json,192
RichContentPartExpression.json,174
AlphaScalarRemoteFunction.json,163
FunctionExecutionCreateParamsInlineFunctionRemoteProfileNonStreaming.json,163
FunctionExecutionCreateParamsInlineFunctionRemoteProfile.json,163
TaskProfile.json,162
CompletionProvider.json,157
FunctionExecutionCreateParamsInlineFunctionRemoteProfileStreaming.json,157
FunctionExecutionCreateParamsRemoteFunctionRemoteProfileNonStreaming.json,149
FunctionExecutionCreateParamsRemoteFunctionRemoteProfile.json,149
FunctionExecutionCreateParamsRemoteFunctionRemoteProfileStreaming.json,143
RemoteProfile.json,136
InlineProfile.json,126
VectorCompletionTaskExpression.json,122
ResponseFormat.json,110
ToolExpression.json,107
PlaceholderAlphaVectorFunctionTaskExpression.json,103
AlphaVectorBranchRemoteFunction.json,102
ChatCompletionUsage.json,101
FunctionToolExpression.json,98
EnsembleLlmProvider.json,95
VectorCompletionUsage.json,91
AlphaVectorLeafRemoteFunction.json,90
AssistantMessageToolCallsExpression.json,85
FunctionToolDefinitionExpression.json,85
AssistantMessage.json,84
AlphaScalarBranchRemoteFunction.json,81
MapVectorCompletionOutput.json,81
AlphaScalarLeafRemoteFunction.json,77
PlaceholderAlphaScalarFunctionTaskExpression.json,77
PlaceholderAlphaVectorScalarFunctionTaskExpression.json,77
VectorCompletionOutput.json,77
AssistantMessageToolCallExpression.json,72
FileRichContentPartExpression.json,72
Tool.json,68
RemoteAutoProfile.json,68
ScalarFunctionTaskExpression.json,67
VectorFunctionTaskExpression.json,67
JsonSchema.json,66
PlaceholderVectorFunctionTaskExpression.json,64
AssistantMessageToolCallFunctionExpression.json,63
FileRichContentPart.json,63
FunctionTool.json,63
InlineAutoProfile.json,63
RemoteTasksProfile.json,63
EnsembleLlmReasoning.json,61
FileRichContentPartDefinitionExpression.json,59
AlphaVectorFunctionInputSchema.json,58
InlineTasksProfile.json,58
AlphaVectorFunctionTaskExpression.json,57
VectorCompletionTask.json,56
DeveloperMessageExpression.json,54
SystemMessageExpression.json,54
UserMessageExpression.json,54
Expression.json,53
JsonSchemaResponseFormat.json,52
FunctionExecutionStrategy.json,51
FunctionToolDefinition.json,50
ImageRichContentPartExpression.json,50
ArrayInputSchema.json,49
PlaceholderScalarFunctionTaskExpression.json,49
ToolMessageExpression.json,48
FunctionExecutionReasoning.json,46
InputValueExpression.json,46
RemoteVectorFunction.json,46
IntegerInputSchema.json,45
NumberInputSchema.json,45
ObjectInputSchema.json,45
InlineVectorFunction.json,45
ScalarFunctionTask.json,45
VectorFunctionTask.json,45
